filename,channel_id,bias_voltage_V,frequency_hz,actual_fft_freq_hz,conductance_S,susceptance_S,impedance_real_Ohm,impedance_imag_Ohm,V_re_fft,V_im_fft,I_re_fft,I_im_fft,num_averaged
test_0v0_FAKEDATA.npz,10,0.000000e+00,4.300000e+03,4.300000e+03,-2.458188e-08,-4.549219e-09,-5.036775e+00,9.320790e-01,1.200000e-04,0.000000e+00,-2.949826e-12,-5.459063e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,4.600000e+03,4.600000e+03,-2.307514e-08,-3.991872e-09,-5.388161e+00,9.320790e-01,1.200000e-04,0.000000e+00,-2.769016e-12,-4.790246e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,4.900000e+03,4.900000e+03,-2.173735e-08,-3.530210e-09,-5.739546e+00,9.320790e-01,1.200000e-04,0.000000e+00,-2.608482e-12,-4.236253e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,5.300000e+03,5.300000e+03,-2.017208e-08,-3.028761e-09,-6.208060e+00,9.320790e-01,1.200000e-04,0.000000e+00,-2.420650e-12,-3.634513e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,5.700000e+03,5.700000e+03,-1.881267e-08,-2.626429e-09,-6.676574e+00,9.320790e-01,1.200000e-04,0.000000e+00,-2.257520e-12,-3.151715e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,6.100000e+03,6.100000e+03,-1.762178e-08,-2.298848e-09,-7.145088e+00,9.320790e-01,1.200000e-04,0.000000e+00,-2.114614e-12,-2.758617e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,6.500000e+03,6.500000e+03,-1.657044e-08,-2.028668e-09,-7.613602e+00,9.320790e-01,1.200000e-04,0.000000e+00,-1.988453e-12,-2.434401e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,7.000000e+03,7.000000e+03,-1.541821e-08,-1.752774e-09,-8.199245e+00,9.320790e-01,1.200000e-04,0.000000e+00,-1.850185e-12,-2.103329e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,7.500000e+03,7.500000e+03,-1.441403e-08,-1.529376e-09,-8.784887e+00,9.320790e-01,1.200000e-04,0.000000e+00,-1.729683e-12,-1.835251e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,8.100000e+03,8.100000e+03,-1.336755e-08,-1.313279e-09,-9.487658e+00,9.320790e-01,1.200000e-04,0.000000e+00,-1.604106e-12,-1.575935e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,8.600000e+03,8.600000e+03,-1.260397e-08,-1.166270e-09,-1.007330e+01,9.320790e-01,1.200000e-04,0.000000e+00,-1.512477e-12,-1.399524e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,9.300000e+03,9.300000e+03,-1.166964e-08,-9.985380e-10,-1.089320e+01,9.320790e-01,1.200000e-04,0.000000e+00,-1.400357e-12,-1.198246e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.000000e+04,1.000000e+04,-1.086343e-08,-8.644844e-10,-1.171310e+01,9.320790e-01,1.200000e-04,0.000000e+00,-1.303612e-12,-1.037381e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.070000e+04,1.070000e+04,-1.016083e-08,-7.556760e-10,-1.253300e+01,9.320790e-01,1.200000e-04,0.000000e+00,-1.219300e-12,-9.068112e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.140000e+04,1.140000e+04,-9.543170e-09,-6.661591e-10,,,1.200000e-04,0.000000e+00,-1.145180e-12,-7.993909e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.230000e+04,1.230000e+04,-8.850941e-09,-5.726305e-10,,,1.200000e-04,0.000000e+00,-1.062113e-12,-6.871566e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.320000e+04,1.320000e+04,-8.251998e-09,-4.974796e-10,,,1.200000e-04,0.000000e+00,-9.902397e-13,-5.969756e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.410000e+04,1.410000e+04,-7.728733e-09,-4.361937e-10,,,1.200000e-04,0.000000e+00,-9.274480e-13,-5.234324e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.510000e+04,1.510000e+04,-7.219833e-09,-3.804874e-10,,,1.200000e-04,0.000000e+00,-8.663799e-13,-4.565849e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.620000e+04,1.620000e+04,-6.732043e-09,-3.306907e-10,,,1.200000e-04,0.000000e+00,-8.078452e-13,-3.968289e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.740000e+04,1.740000e+04,-6.269774e-09,-2.867430e-10,,,1.200000e-04,0.000000e+00,-7.523729e-13,-3.440916e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.870000e+04,1.870000e+04,-5.835542e-09,-2.483303e-10,,,1.200000e-04,0.000000e+00,-7.002651e-13,-2.979964e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.000000e+04,2.000000e+04,-5.457473e-09,-2.171459e-10,,,1.200000e-04,0.000000e+00,-6.548967e-13,-2.605751e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.150000e+04,2.150000e+04,-5.077800e-09,-1.879435e-10,,,1.200000e-04,0.000000e+00,-6.093360e-13,-2.255322e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.310000e+04,2.310000e+04,-4.726955e-09,-1.628395e-10,,,1.200000e-04,0.000000e+00,-5.672346e-13,-1.954074e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.470000e+04,2.470000e+04,-4.421413e-09,-1.424473e-10,,,1.200000e-04,0.000000e+00,-5.305695e-13,-1.709368e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.650000e+04,2.650000e+04,-4.121651e-09,-1.237700e-10,,,1.200000e-04,0.000000e+00,-4.945982e-13,-1.485240e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.840000e+04,2.840000e+04,-3.846355e-09,-1.077758e-10,,,1.200000e-04,0.000000e+00,-4.615626e-13,-1.293309e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,3.050000e+04,3.050000e+04,-3.581898e-09,-9.345520e-11,,,1.200000e-04,0.000000e+00,-4.298277e-13,-1.121462e-14,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,3.270000e+04,3.270000e+04,-3.341209e-09,-8.131040e-11,,,1.200000e-04,0.000000e+00,-4.009451e-13,-9.757248e-15,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,3.510000e+04,3.510000e+04,-3.112994e-09,-7.057669e-11,,,1.200000e-04,0.000000e+00,-3.735593e-13,-8.469203e-15,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,3.760000e+04,3.760000e+04,-2.906205e-09,-6.150756e-11,,,1.200000e-04,0.000000e+00,-3.487446e-13,-7.380908e-15,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,4.030000e+04,4.030000e+04,-2.711654e-09,-5.354505e-11,,,1.200000e-04,0.000000e+00,-3.253984e-13,-6.425406e-15,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,4.320000e+04,4.320000e+04,-2.529749e-09,-4.659978e-11,,,1.200000e-04,0.000000e+00,-3.035699e-13,-5.591974e-15,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,4.640000e+04,4.640000e+04,-2.355390e-09,-4.039569e-11,,,1.200000e-04,0.000000e+00,-2.826468e-13,-4.847483e-15,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,4.970000e+04,4.970000e+04,-2.199079e-09,-3.521070e-11,,,1.200000e-04,0.000000e+00,-2.638895e-13,-4.225283e-15,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,5.330000e+04,5.330000e+04,-2.050617e-09,-3.061593e-11,,,1.200000e-04,0.000000e+00,-2.460740e-13,-3.673912e-15,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,5.720000e+04,5.720000e+04,-1.910858e-09,-2.658414e-11,,,1.200000e-04,0.000000e+00,-2.293030e-13,-3.190097e-15,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,6.130000e+04,6.130000e+04,-1.783097e-09,-2.314753e-11,,,1.200000e-04,0.000000e+00,-2.139716e-13,-2.777703e-15,1
